model_type,restricted_model,equation,source_variable,restriction_type,removed_parameters,remaining_block_parameters,granger_p_value,classical_block_f_p_value,min_hc3_p_value_in_block,min_hac_p_value_in_block,economic_override,imposed,decision_rule,reason,Acceptable if
VAR,Restricted_VAR_block_parsimony,UNRATE,INF,drop all lagged coefficients from source block,5,0,0.7867,0.7864,0.2553,0.1899,False,True,"drop only if not protected and Granger, block F, HC3, and HAC evidence are all weak at p>=0.05",removed because the source block does not show Granger/block evidence and robust lag-level evidence is weak,restrictions are defensible only when forecast/residual diagnostics do not deteriorate materially
VAR,Restricted_VAR_block_parsimony,UNRATE,FEDFUNDS,retain source block,0,5,0.0,0.0,0.2391,0.1159,True,False,"drop only if not protected and Granger, block F, HC3, and HAC evidence are all weak at p>=0.05",FEDFUNDS lag block is retained as a theoretically central monetary-policy channel,restrictions are defensible only when forecast/residual diagnostics do not deteriorate materially
VAR,Restricted_VAR_block_parsimony,UNRATE,UNRATE,retain source block,0,5,,0.0,0.4317,0.0019,True,False,"drop only if not protected and Granger, block F, HC3, and HAC evidence are all weak at p>=0.05",own lags are retained to preserve persistence and dynamic adjustment,restrictions are defensible only when forecast/residual diagnostics do not deteriorate materially
VAR,Restricted_VAR_block_parsimony,UNRATE,INDPRO_GROWTH,retain source block,0,5,0.0003,0.0003,0.1967,0.0338,True,False,"drop only if not protected and Granger, block F, HC3, and HAC evidence are all weak at p>=0.05",UNRATE and industrial production are retained as a core real-side transmission pair,restrictions are defensible only when forecast/residual diagnostics do not deteriorate materially
VAR,Restricted_VAR_block_parsimony,UNRATE,SENTIMENT_CHANGE,drop all lagged coefficients from source block,5,0,0.2822,0.2845,0.2924,0.0724,False,True,"drop only if not protected and Granger, block F, HC3, and HAC evidence are all weak at p>=0.05",removed because the source block does not show Granger/block evidence and robust lag-level evidence is weak,restrictions are defensible only when forecast/residual diagnostics do not deteriorate materially
VAR,Restricted_VAR_block_parsimony,INDPRO_GROWTH,INF,retain source block,0,5,0.0111,0.0122,0.0066,0.0004,False,False,"drop only if not protected and Granger, block F, HC3, and HAC evidence are all weak at p>=0.05","retained because predictive, joint, robust, or economic evidence is not weak enough",restrictions are defensible only when forecast/residual diagnostics do not deteriorate materially
VAR,Restricted_VAR_block_parsimony,INDPRO_GROWTH,FEDFUNDS,retain source block,0,5,0.0001,0.0001,0.314,0.1462,True,False,"drop only if not protected and Granger, block F, HC3, and HAC evidence are all weak at p>=0.05",FEDFUNDS lag block is retained as a theoretically central monetary-policy channel,restrictions are defensible only when forecast/residual diagnostics do not deteriorate materially
VAR,Restricted_VAR_block_parsimony,INDPRO_GROWTH,UNRATE,retain source block,0,5,0.0,0.0,0.4765,0.0397,True,False,"drop only if not protected and Granger, block F, HC3, and HAC evidence are all weak at p>=0.05",UNRATE and industrial production are retained as a core real-side transmission pair,restrictions are defensible only when forecast/residual diagnostics do not deteriorate materially
VAR,Restricted_VAR_block_parsimony,INDPRO_GROWTH,INDPRO_GROWTH,retain source block,0,5,,0.0086,0.2144,0.0072,True,False,"drop only if not protected and Granger, block F, HC3, and HAC evidence are all weak at p>=0.05",own lags are retained to preserve persistence and dynamic adjustment,restrictions are defensible only when forecast/residual diagnostics do not deteriorate materially
VAR,Restricted_VAR_block_parsimony,INDPRO_GROWTH,SENTIMENT_CHANGE,retain source block,0,5,0.1131,0.1159,0.117,0.0089,False,False,"drop only if not protected and Granger, block F, HC3, and HAC evidence are all weak at p>=0.05","retained because predictive, joint, robust, or economic evidence is not weak enough",restrictions are defensible only when forecast/residual diagnostics do not deteriorate materially
VAR,Restricted_VAR_block_parsimony,SENTIMENT_CHANGE,INF,retain source block,0,5,0.0002,0.0002,0.007,0.0038,False,False,"drop only if not protected and Granger, block F, HC3, and HAC evidence are all weak at p>=0.05","retained because predictive, joint, robust, or economic evidence is not weak enough",restrictions are defensible only when forecast/residual diagnostics do not deteriorate materially
VAR,Restricted_VAR_block_parsimony,SENTIMENT_CHANGE,FEDFUNDS,retain source block,0,5,0.1242,0.127,0.6664,0.5658,True,False,"drop only if not protected and Granger, block F, HC3, and HAC evidence are all weak at p>=0.05",FEDFUNDS lag block is retained as a theoretically central monetary-policy channel,restrictions are defensible only when forecast/residual diagnostics do not deteriorate materially
VAR,Restricted_VAR_block_parsimony,SENTIMENT_CHANGE,UNRATE,retain source block,0,5,0.4058,0.4074,0.186,0.0171,False,False,"drop only if not protected and Granger, block F, HC3, and HAC evidence are all weak at p>=0.05","retained because predictive, joint, robust, or economic evidence is not weak enough",restrictions are defensible only when forecast/residual diagnostics do not deteriorate materially
VAR,Restricted_VAR_block_parsimony,SENTIMENT_CHANGE,INDPRO_GROWTH,retain source block,0,5,0.2806,0.283,0.1744,0.0424,False,False,"drop only if not protected and Granger, block F, HC3, and HAC evidence are all weak at p>=0.05","retained because predictive, joint, robust, or economic evidence is not weak enough",restrictions are defensible only when forecast/residual diagnostics do not deteriorate materially
VAR,Restricted_VAR_block_parsimony,SENTIMENT_CHANGE,SENTIMENT_CHANGE,retain source block,0,5,,0.0,0.0,0.0,True,False,"drop only if not protected and Granger, block F, HC3, and HAC evidence are all weak at p>=0.05",own lags are retained to preserve persistence and dynamic adjustment,restrictions are defensible only when forecast/residual diagnostics do not deteriorate materially
